1785286302,185.8MiB / 15.39GiB
1785286304,185.8MiB / 15.39GiB
1785286306,221.2MiB / 15.39GiB
1785286308,500.7MiB / 15.39GiB
1785286310,594.3MiB / 15.39GiB
1785286312,624MiB / 15.39GiB
1785286314,648MiB / 15.39GiB
1785286316,680.9MiB / 15.39GiB
1785286318,709.8MiB / 15.39GiB
1785286320,747.9MiB / 15.39GiB
1785286322,759.5MiB / 15.39GiB
1785286324,771.1MiB / 15.39GiB
1785286326,780.9MiB / 15.39GiB
1785286328,801.3MiB / 15.39GiB
1785286330,817.9MiB / 15.39GiB
1785286332,805.5MiB / 15.39GiB
1785286334,816.1MiB / 15.39GiB
1785286336,857.2MiB / 15.39GiB
1785286338,899.4MiB / 15.39GiB
1785286340,917.6MiB / 15.39GiB
1785286342,1.288GiB / 15.39GiB
1785286344,932MiB / 15.39GiB
1785286346,1.067GiB / 15.39GiB
1785286348,981MiB / 15.39GiB
1785286350,999.8MiB / 15.39GiB
1785286352,1022MiB / 15.39GiB
1785286354,1024MiB / 15.39GiB
1785286356,1.023GiB / 15.39GiB
1785286358,1.026GiB / 15.39GiB
1785286360,1.026GiB / 15.39GiB
1785286362,1.049GiB / 15.39GiB
1785286364,1.14GiB / 15.39GiB
1785286366,1.139GiB / 15.39GiB
1785286368,1.187GiB / 15.39GiB
1785286370,1.211GiB / 15.39GiB
1785286372,1.221GiB / 15.39GiB
1785286374,1.226GiB / 15.39GiB
1785286376,1.251GiB / 15.39GiB
1785286378,1.269GiB / 15.39GiB
1785286380,1.26GiB / 15.39GiB
1785286382,1.26GiB / 15.39GiB
1785286384,1.265GiB / 15.39GiB
1785286386,1.292GiB / 15.39GiB
1785286388,1.296GiB / 15.39GiB
1785286390,1.296GiB / 15.39GiB
1785286392,1.269GiB / 15.39GiB
1785286394,1.313GiB / 15.39GiB
1785286396,1.322GiB / 15.39GiB
1785286398,1.335GiB / 15.39GiB
1785286400,1.339GiB / 15.39GiB
1785286402,1.35GiB / 15.39GiB
1785286404,1.481GiB / 15.39GiB
1785286406,1.377GiB / 15.39GiB
1785286408,1.776GiB / 15.39GiB
1785286410,1.385GiB / 15.39GiB
1785286412,1.669GiB / 15.39GiB
1785286414,1.456GiB / 15.39GiB
1785286416,1.455GiB / 15.39GiB
1785286418,1.626GiB / 15.39GiB
1785286421,1.651GiB / 15.39GiB
1785286423,1.688GiB / 15.39GiB
1785286425,1.714GiB / 15.39GiB
1785286427,1.703GiB / 15.39GiB
1785286429,1.708GiB / 15.39GiB
1785286431,1.896GiB / 15.39GiB
1785286433,1.737GiB / 15.39GiB
1785286435,1.967GiB / 15.39GiB
1785286437,2.088GiB / 15.39GiB
1785286439,1.855GiB / 15.39GiB
1785286441,1.86GiB / 15.39GiB
1785286443,1.881GiB / 15.39GiB
1785286445,1.911GiB / 15.39GiB
1785286447,2.016GiB / 15.39GiB
1785286449,1.961GiB / 15.39GiB
1785286451,2.093GiB / 15.39GiB
1785286453,1.957GiB / 15.39GiB
1785286455,1.919GiB / 15.39GiB
1785286457,1.95GiB / 15.39GiB
1785286459,2.008GiB / 15.39GiB
1785286461,2.245GiB / 15.39GiB
1785286463,2.224GiB / 15.39GiB
1785286465,2.037GiB / 15.39GiB
1785286467,2.407GiB / 15.39GiB
1785286469,2.05GiB / 15.39GiB
1785286471,2.06GiB / 15.39GiB
1785286473,2.124GiB / 15.39GiB
1785286475,2.147GiB / 15.39GiB
1785286477,2.177GiB / 15.39GiB
1785286479,2.167GiB / 15.39GiB
1785286481,2.451GiB / 15.39GiB
1785286483,2.175GiB / 15.39GiB
1785286485,2.181GiB / 15.39GiB
1785286487,2.193GiB / 15.39GiB
1785286489,2.301GiB / 15.39GiB
1785286491,2.253GiB / 15.39GiB
1785286493,2.285GiB / 15.39GiB
1785286495,2.297GiB / 15.39GiB
1785286497,2.29GiB / 15.39GiB
1785286499,2.44GiB / 15.39GiB
1785286501,2.302GiB / 15.39GiB
1785286503,2.317GiB / 15.39GiB
1785286505,2.334GiB / 15.39GiB
1785286507,2.464GiB / 15.39GiB
1785286509,2.401GiB / 15.39GiB
1785286511,2.43GiB / 15.39GiB
1785286513,2.384GiB / 15.39GiB
1785286515,2.388GiB / 15.39GiB
1785286517,2.51GiB / 15.39GiB
1785286519,2.43GiB / 15.39GiB
1785286521,2.417GiB / 15.39GiB
1785286523,2.448GiB / 15.39GiB
1785286525,2.72GiB / 15.39GiB
1785286527,2.706GiB / 15.39GiB
1785286529,2.708GiB / 15.39GiB
1785286532,2.707GiB / 15.39GiB
